prospect_id,company,website,contact_name,role,email,phone,source,source_url,evidence,pain_signal,ICP_fit,confidence,qualification_status,offer_match,recommended_message_angle,status
P4-011,Blueprint Business Solutions,blueprintbusinesssolutionscorp.com,UNKNOWN,UNKNOWN,info@blueprintbusinesssolutionscorp.com,+1 (347) 973-8677,web_search 2026-09-16,https://blueprintbusinesssolutionscorp.com/us-outsourcing-company/appointment-setter-company-in-texas/,"PROVEN: appointment-setting outsourcer publishing company email and phones on own Texas page (Feb-2026). Addresses published, not delivery-verified.",hypothesis: top-of-funnel identification passes unqualified rows into client calendars,0.80,0.70,QUALIFIED,p4_lead_cleaner,qualify rows before they reach client calendars,NEW
P4-012,Salaria Sales,salariasales.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://salariasales.com/cold-calling-agency/cold-calling-agency-in-texas/,"PROVEN: Texas B2B cold-calling agency across tech/finance/healthcare/real-estate verticals (Feb-2025 article).",hypothesis: multi-vertical call data mixes formats and duplicates across campaigns,0.80,0.70,QUALIFIED,p4_lead_cleaner,normalize and dedupe multi-campaign data,NEW
P4-013,EBQ,ebq.com,UNKNOWN,UNKNOWN,info@ebq.com,(512) 637-9696,web_search 2026-09-16,https://ebq.com/appointment-setting-services/,"PROVEN: US-based appointment setter (20+ yrs per own site) publishing Austin address, phone, and email (Mar-2026 article). Contacts published, not delivery-verified.",hypothesis: 5-touch follow-up cadences waste attempts on dead records,0.80,0.70,QUALIFIED,p4_lead_cleaner,every follow-up attempt lands on a real record,NEW
P4-014,MarknTech,markntech.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://markntech.com/linkedin-lead-generation-services-texas/,"PROVEN: Texas LinkedIn lead-gen agency (180+ TX companies per own site, Dec-2025 article).",hypothesis: LinkedIn-sourced lists need phone/email verification before dialing,0.75,0.65,QUALIFIED,p4_lead_cleaner,verify LinkedIn-sourced contacts before dialing,NEW
P4-015,Visionary Solutions Inc,visionarysolutionsinc.com,UNKNOWN,UNKNOWN,info@vscinc.com,+1 888-814-8189,web_search 2026-09-16,https://visionarysolutionsinc.com/sales-outsourcing-services-in-texas/,"PROVEN: Texas sales-outsourcing firm publishing phone and email on own site (May-2026 article). Contacts published, not delivery-verified.",hypothesis: rapid team expansion multiplies list-quality variance,0.75,0.65,QUALIFIED,p4_lead_cleaner,standardize list quality as teams scale,NEW
P4-016,Lemnisca Growth,lemniscategrowth.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://lemniscategrowth.com/,"PROVEN: Dallas B2B lead-gen/ABM agency (cold email + LinkedIn + paid per own site).",hypothesis: multi-channel orchestration duplicates the same buyers across channels,0.70,0.60,QUALIFIED,p4_lead_cleaner,one identity across email/LinkedIn/paid,NEW
P4-017,DevCommX,devcommx.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://www.devcommx.com/appointment-setting/dallas,"PROVEN: Dallas appointment-setting infrastructure provider (Sales Navigator + intent stack per own site).",hypothesis: layered data stacks (Navigator/technographic/intent) overlap without dedupe,0.75,0.65,QUALIFIED,p4_lead_cleaner,dedupe layered data stacks,NEW
P4-018,NATiVE Solar,nativesolar.com,UNKNOWN,UNKNOWN,info@nativesolar.com,855.234.3131,web_search 2026-09-16,https://nativesolar.com/dfwmetroplex/,"PROVEN: DFW solar+battery installer publishing email and phone on own DFW page (Jun-2025). Contacts published, not delivery-verified.",hypothesis: door-knock and web-lead lists mix service areas and duplicates,0.70,0.65,QUALIFIED,p4_lead_cleaner,route only real local records to closers,NEW
P4-019,Good Faith Energy,goodfaithenergy.com,UNKNOWN,UNKNOWN,info@goodfaithenergy.com,(972) 777-6937,web_search 2026-09-16,https://goodfaithenergy.com/,"PROVEN: Addison TX solar installer since 2014 publishing address, phone, and email on own site. Contacts published, not delivery-verified.",hypothesis: 770+ review-scale lead flow accumulates duplicates across DFW cities,0.70,0.65,QUALIFIED,p4_lead_cleaner,keep high-volume inbound lists callable,NEW
P4-020,Solar SME,solarsme.com,UNKNOWN,UNKNOWN,info@solarsme.com,(832) 626-2337,web_search 2026-09-16,https://solarsme.com/solarsme-texas/dallas-fort-worth-solar-installer/,"PROVEN: Texas solar installer (10+ yrs per own site) publishing Grand Prairie office, email, and phone. Contacts published, not delivery-verified.",hypothesis: quote-request lists include renters and out-of-area records,0.65,0.60,QUALIFIED,p4_lead_cleaner,filter quote lists to callable owners,NEW
P4-021,Longhorn Solar,longhornsolar.com,UNKNOWN,UNKNOWN,info@longhornsolar.com,(972) 850-7764,web_search 2026-09-16,https://longhornsolar.com/about/texas-locations/dallas-fort-worth-north-texas/,"PROVEN: Austin-founded solar company (2009, 2300+ installs per own site) publishing Plano office contacts. Contacts published, not delivery-verified.",hypothesis: multi-city operations duplicate households across metros,0.65,0.60,QUALIFIED,p4_lead_cleaner,dedupe households across metros,NEW
P4-022,North Texas Solar,northtexassolar.com,UNKNOWN,UNKNOWN,info@northtexassolar.com,(940) 387-2716,web_search 2026-09-16,https://northtexassolar.com/,"PROVEN: Fort Worth solar installer (locally owned since 2015 per own site) publishing address, email, phone. Contacts published, not delivery-verified.",hypothesis: in-house crews idle when appointment lists contain bad numbers,0.65,0.60,QUALIFIED,p4_lead_cleaner,feed crews only callable appointments,NEW
P4-023,Thumann Insurance Agency,thumanninsuranceagency.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://thumanninsuranceagency.com/,"PROVEN: independent Dallas brokerage since 1996 across 80+ carriers per own site.",hypothesis: contractor and fleet prospect lists across DFW decay between renewals,0.65,0.60,QUALIFIED,p4_lead_cleaner,renewal outreach on verified records,NEW
P4-024,RHSB,rhsb.com,UNKNOWN,UNKNOWN,info@rhsb.com,(972) 231-1300,web_search 2026-09-16,https://www.rhsb.com/,"PROVEN: North Texas independent broker (Assurex Global partner per own site) publishing Dallas/Fort Worth phones and email. Contacts published, not delivery-verified.",hypothesis: commercial book outreach hits stale decision-maker contacts,0.65,0.60,QUALIFIED,p4_lead_cleaner,verify decision-maker contacts before outreach,NEW
P4-025,Presley Insurance Group,presleyins.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,web_search 2026-09-16,https://www.presleyins.com/,"PROVEN: DFW independent agency (2017, $22M+ book per own site) publishing Dallas office address.",hypothesis: 6000-policy growth pace outruns list hygiene,0.65,0.60,QUALIFIED,p4_lead_cleaner,hygiene that keeps pace with book growth,NEW
